Dataset_ID	Accession	Curated_by	Overexpression(OE)_Knockout(KO)_Knockdown(KD)_Other-gene-modulation(OM)_Drug(D)_None(N)_Gene-and-Drug(GD)	Sample_annotation(G=sample_id,T=Term)	Control_samples	Perturbed_samples	Comparison_Requirements	Input_Term	Testing_Condition	Perturbagen_terms	Comments
200118220	GSE118220	Bess	D	T	H3K4me3-DMSO	H3K4me3-CBP30				CBP30	There were 4 different histone modifications tested with CBP30.
200118220	GSE118220	Bess	D	T	OSKM-DMSO	OSKM-CBP30				CBP30	
200118220	GSE118220	Bess	D	T	OSKM-DMSO	OSKM-ICBP112				ICBP112	
200118220	GSE118220	Bess	D	T	OSKM-DMSO	OSKM-A485				A485	There were 3 different treatments.
200134295	GSE134295	Bess	OM	T	control 90 minutes dT	csl4-ph 90 minutes dT				CSL4;csl4	
200134295	GSE134295	Bess	OM	T	control 90 minutes dT	enp1-1 90 minutes dT				ENP1;enp1	
200134295	GSE134295	Bess	OM	T	control 90 minutes dT	srm1-ts 90 minutes dT				SRM1;srm1	3 strains tested with dT
200134295	GSE134295	Bess	OM	T	control 90 minutes ribo	csl4-ph 90 minutes ribo				CSL4;csl4	
200134295	GSE134295	Bess	OM	T	control 90 minutes ribo	enp1-1 90 minutes ribo				ENP1;enp1	
200134295	GSE134295	Bess	OM	T	control 90 minutes ribo	srm1-ts 90 minutes ribo				SRM1;srm1	4 strains tested with ribo.
200134295	GSE134295	Bess	OM	T	control 90 minutes ribo	dis3-1 90 minutes ribo				DIS3;dis3	
200134295	GSE134295	Bess	OM	T	control + empty vector	csl4-ph + empty vector				CSL4;csl4	
200134295	GSE134295	Bess	OM	T	control + empty vector	enp1-1 + empty vector				ENP1;enp1	
200134295	GSE134295	Bess	OM	T	control + Pab1GFP vector	csl4-ph + Pab1GFP vector				CSL4;csl4	
200134295	GSE134295	Bess	OM	T	control + Pab1GFP vector	enp1-1 + Pab1GFP vector				ENP1;enp1	2 types of vectors, 2 strains.
200125358	GSE125358	Bess	KO	T	OTII-WT	KO				CD3&CD28	Was tested on 2 different types of tissue.
200083404	GSE83404	Bess	N								
200127118	GSE127118	Bess	KO	T		K562				NFATC1	No controls.
200156156	GSE156156	Bess	KO	T	WT	KO				Lamin B1;lamin B1	Results were taken on both day 5 and 9.
200137154	GSE137154	Bess	N								
200211632	GSE211632	Bess	KD	T	Control EE	Pros-depleted EE				Pros;pros	
200211632	GSE211632	Bess	OE	T	control oDam	oDam-Pros				oDam;Dam&Pros	Overexpression of oDam-Pros fusion.
200211632	GSE211632	Bess	OE	T	control oDam	oDam-Fer1				oDam;Dam&Fer1	Overexpression of oDam-Fer1 fusion.
200055735	GSE55735	Bess	KD	T	Drosha +/+	Drosha -/-				Drosha	
200192357	GSE192357	Bess	OE	G	GSM5745389;GSM5745390;GSM5745391	GSM5745398;GSM5745399;GSM5745400				SigB;sigB&SigD;sigD	
200192357	GSE192357	Bess	OE	G	GSM5745389;GSM5745390;GSM5745391	GSM5745407;GSM5745408;GSM5745409				SigB;sigB&SigD;sigD	
200192357	GSE192357	Bess	OE	G	GSM5745389;GSM5745390;GSM5745391	"GSM5745416;GSM5745417;GSM5745418	"				SigB;sigB&SigD;sigD	
200192357	GSE192357	Bess	OE	G	GSM5745389;GSM5745390;GSM5745391	GSM5745425;GSM5745426;GSM5745427				SigB;sigB&SigD;sigD	4 different genotypes tested with the standard light treatment.
200192357	GSE192357	Bess	OE	G	GSM5745392;GSM5745393;GSM5745394	GSM5745401;GSM5745402;GSM5745403				SigB;sigB&SigD;sigD	
200192357	GSE192357	Bess	OE	G	GSM5745392;GSM5745393;GSM5745394	GSM5745410;GSM5745411;GSM5745412				SigB;sigB&SigD;sigD	
200192357	GSE192357	Bess	OE	G	GSM5745392;GSM5745393;GSM5745394	GSM5745419;GSM5745420;GSM5745421				SigB;sigB&SigD;sigD	
200192357	GSE192357	Bess	OE	G	GSM5745392;GSM5745393;GSM5745394	GSM5745428;GSM5745429;GSM5745430				SigB;sigB&SigD;sigD	4 different genotypes tested with the bright light treatment.
200192357	GSE192357	Bess	OE	G	GSM5745395;GSM5745396;GSM5745397	GSM5745404;GSM5745405;GSM5745406				SigB;sigB&SigD;sigD	
200192357	GSE192357	Bess	OE	G	GSM5745395;GSM5745396;GSM5745397	GSM5745413;GSM5745414;GSM5745415				SigB;sigB&SigD;sigD	
200192357	GSE192357	Bess	OE	G	GSM5745395;GSM5745396;GSM5745397	GSM5745422;GSM5745423;GSM5745424				SigB;sigB&SigD;sigD	
200192357	GSE192357	Bess	OE	G	GSM5745395;GSM5745396;GSM5745397	GSM5745431;GSM5745432;GSM5745433				SigB;sigB&SigD;sigD	4 different genotypes tested with the high temperature treatment.
200148297	GSE148297	Bess	KO	T	WTL	FR2aL				GPX4	
200148297	GSE148297	Bess	KO	T	WTR	FR2aR				GPX4	
200148297	GSE148297	Bess	KO	T	WTL	FR2dL				GPX4	
200148297	GSE148297	Bess	KO	T	WTR	FR2dR				GPX4	Left/Right tumor, Mouse 1/2
200184697	GSE184697	Bess	N								
200138939	GSE138939	Bess	D	T	Vc-D-E	Ver-D-E				DHT&enzalutamide	Dual treatment.
200138939	GSE138939	Bess	D	T	Vc-D	Ver-D				DHT	
200138939	GSE138939	Bess	D	T	Vc-E	Ver-E				enzalutamide	
200106626	GSE106626	Bess	KD	T	G48-siSCR	G48-siETV1				ETV1	
200106626	GSE106626	Bess	KD	T	G48-siSCR	G48-siFOXF1				FOXF1	
200106626	GSE106626	Bess	KD	T	G882-siSCR	G882-siETV1				ETV1	
200106626	GSE106626	Bess	KD	T	G882-siSCR	G882-siFOXF1				FOXF1	
200106626	GSE106626	Bess	KD	T	T1-siSCR	T1-siETV1				ETV1	
200106626	GSE106626	Bess	KD	T	T1-siSCR	T1-siFOXF1				FOXF1	3 genotypes, 2 different genes being knocked down.
200106626	GSE106626	Bess	KD	T	GIST-T1-input	GIST-T1-ETV1				ETV1	
200106626	GSE106626	Bess	KD	T	GIST-T1-input	GIST-T1-FOXF1				FOXF1	
200106626	GSE106626	Bess	KD	T	GIST-T1-input	MDA-PCa2b-ETV1				ETV1	2 different cell lines.
200106626	GSE106626	Bess	KD	T	GIST48-siSCR-ETV1	GIST48-siETV1-ETV1				ETV1	
200106626	GSE106626	Bess	KD	T	GIST48-siSCR-FOXF1	GIST48-siETV1-FOXF1				FOXF1	
200106626	GSE106626	Bess	KD	T	GIST48-siFOXF1-Input	GIST48-siFOXF1-ETV1				ETV1	
200106626	GSE106626	Bess	KD	T	GIST48-siFOXF1-Input	GIST48-siFOXF1-FOXF1				FOXF1	ETV1 or FOXF1 ChIP sequencing in ETV1 or FOXF1 knocked down cells.
200106626	GSE106626	Bess	KD	T	GIST48_Day3_siSCR	GIST48_Day3_siETV1				ETV1	
200106626	GSE106626	Bess	KD	T	GIST48_Day3_siSCR	GIST48_Day3_siFOXF1				ETV1	
200065936	GSE65936	Bess	D	T	TF/Veh	TF/AR				AR-42	
200065936	GSE65936	Bess	D	T	T/Veh	T/AR				AR-42	Tested in both tumor-free and tumor-bearing mice.
200141123	GSE141123	Bess	KO	T	WT	KO				OsC3'H1	Results taken at both 5 and 12 days.
200118187	GSE118187	Bess	KO	T	WT	KO				Prdm12	
200172399	GSE172399	Bess	N								
200171633	GSE171633	Bess	KO	T	control	antimir409				microRNA-501	
200171633	GSE171633	Bess	KO	T	control	antimir501				microRNA-409	Independent silencing of 2 types of RNA.
200192773	GSE192773	Bess	N								
200244748	GSE244748	Bess	D	T	Pre-sotigalimab, Gene expression	Post-sotigalimab, Gene expression				Sotigalimab;sotiga;sotigalimab	
200244748	GSE244748	Bess	D	T	Pre-sotigalimab, T cell receptor	Post-sotigalimab, T cell receptor				Sotigalimab;sotiga;sotigalimab	
200244748	GSE244748	Bess	D	T	Pre-sotigalimab, B cell receptor	Post-sotigalimab, B cell receptor				Sotigalimab;sotiga;sotigalimab	Samples from the other sub-series were not usable.
200097799	GSE97799	Bess	KO	T	ScPHO4 ScPHO2	pho4Δ ScPHO2				pho4	
200097799	GSE97799	Bess	KO	T	ScPHO4 pho2Δ	pho4Δ pho2Δ				pho4	
200097799	GSE97799	Bess	KO	T	ScPHO4 ScPHO2	ScPHO4 pho2Δ				pho2	
200097799	GSE97799	Bess	KO	T	pho4Δ ScPHO2	pho4Δ pho2Δ				pho2	
200097799	GSE97799	Bess	KO	T	SpPHO4 ScPHO2	ScPHO4 pho2Δ				pho2	
200097799	GSE97799	Bess	KO	T	CgPHO4 ScPHO2	CgPHO4 pho2Δ				pho2	
200097799	GSE97799	Bess	KO	T	NdPHO4 ScPHO2	NdPHO4 pho2Δ				pho2	
200097799	GSE97799	Bess	KO	T	CnPHO4 ScPHO2	CnPHO4 pho2Δ				pho2	
200097799	GSE97799	Bess	KO	T	NbPHO4 ScPHO2	NbPHO4 pho2Δ				pho2	
200097799	GSE97799	Bess	KO	T	LkPHO4 ScPHO2	LkPHO4 pho2Δ				pho2	
200097799	GSE97799	Bess	KO	T	SpPHO4 ScPHO2	pho4Δ ScPHO2				pho4	
200097799	GSE97799	Bess	KO	T	CgPHO4 ScPHO2	pho4Δ ScPHO2				pho4	
200097799	GSE97799	Bess	KO	T	NdPHO4 ScPHO2	pho4Δ ScPHO2				pho4	
200097799	GSE97799	Bess	KO	T	CnPHO4 ScPHO2	pho4Δ ScPHO2				pho4	
200097799	GSE97799	Bess	KO	T	NbPHO4 ScPHO2	pho4Δ ScPHO2				pho4	
200097799	GSE97799	Bess	KO	T	LkPHO4 ScPHO2	pho4Δ ScPHO2				pho4	
200098144	GSE98144	Bess	KD	G	GSM2588475;GSM2588476;GSM2588477;GSM2588478	GSM2588472;GSM2588473;GSM2588474				Dicer	
200098144	GSE98144	Bess	D	T	Total_brain_MG_LPS_WT	Total_brain_MG_LPS_Dicer				LPS	
200098144	GSE98144	Bess	KD	T	Total_brain_MG_WT	Total_brain_MG_Dicer				Dicer	
200098144	GSE98144	Bess	D	T	Hippocampal_MG_LPS_WT	Hippocampal_MG_LPS_Dicer				LPS	
200098144	GSE98144	Bess	KD	T	Hippocampal_MG_WT	Hippocampal_MG_Dicer				Dicer	2 different tissues tested; the other subseries was N.
200151444	GSE151444	Bess	D	T		d4c7+FR10				FR10	
200151444	GSE151444	Bess	D	T		d4c7+CsA				CsA;cyclosporin A	
200151444	GSE151444	Bess	D	T		d4c7+FGF10				FGF10	
200151444	GSE151444	Bess	D	T		d4c7+FGF2				FGF2	
200151444	GSE151444	Bess	D	T		E9.5c5 FR10				FR10	
200151444	GSE151444	Bess	D	T		E9.5c5+CsA				CsA;cyclosporin A	No controls.
200092870	GSE92870	Bess	KO	T		Testis				ADAR;Adar&ADARB1;Adarb1	No controls.
200183778	GSE183778	Bess	KD	T	NC	HFD				AKT	
200224686	GSE224686	Bess	N								
200154119	GSE154119	Bess	N								
200079782	GSE79782	Bess	N								
200114516	GSE114516	Bess	OM	T	WT	KI				Asxl1	
200181959	GSE181959	Bess	D	G	GSM5514845;GSM5514846;GSM5514847	GSM5514842;GSM5514843;GSM5514844				dextran sulfate sodium;DSS	
200181959	GSE181959	Bess	D	G	GSM5514851;GSM5514852;GSM5514853	GSM5514848;GSM5514849;GSM5514850				dextran sulfate sodium;DSS	DSS was given to both liver and colon cells.
200202827	GSE202827	Bess	N								
200141872	GSE141872	Bess	D	G	GSM4215248	GSM4215249				Visudyne	
200099982	GSE99982	Bess	KO	T	wt	nrpmut				nrp1-1&nrp2-1	
200099982	GSE99982	Bess	OE	T	wt	nrp1ox				atnrp1;At NRP1	
200241736	GSE241736	Bess	KO	T		mouse RT				SMARCB1	No controls.
200229661	GSE229661	Bess	KO	G	GSM7170115;GSM7170116;GSM7170117	GSM7170118;GSM7170119;GSM7170120				Hdac3	
200229661	GSE229661	Bess	KO	T	H3CTL	H3KO				Hdac3	
200229661	GSE229661	Bess	KO	T	Bulk RNA_Mouse Cardiac Endothelial Cell - Empty vector	Bulk RNA_Mouse Cardiac Endothelial Cell - Hdac3 Crispr/cas9 Knockout				Hdac3	
200094110	GSE94110	Bess	KO	T	Control strain	Strain showing downregulation of celA				celA	
200110328	GSE110328	Bess	KO	T	C1G1	C1G2				thryptophan hyroxylase 2;Tph2	
200110328	GSE110328	Bess	KO	T	C2G1	C2G2				thryptophan hyroxylase 2;Tph2	
200110328	GSE110328	Bess	KO	T	C1G1	C1G3				thryptophan hyroxylase 2;Tph2	
200110328	GSE110328	Bess	KO	T	C2G1	C2G3				thryptophan hyroxylase 2;Tph2	2 variables: Heterozygous/Homozygous knockout of Thp2; no stress/maternal separation.
200219747	GSE219747	Bess	N								
200126776	GSE126776	Bess	KO	T	3D_WTPELP	3D_CytoPELP				PELP1	
200248741	GSE248741	Bess	KO	T	Male, WT, rep	Male, KO				dnd1	
200248741	GSE248741	Bess	KO	T	Female, WT, rep	Female, KO				dnd1	2 variables: male/female; KO/Control.
200248741	GSE248741	Bess	OM	T	Male, WT, young sample	Male, dnd1 mutant, young sample				dnd1	
200248741	GSE248741	Bess	OM	T	Male, WT, old sample	Male, dnd1 mutant, old sample				dnd1	
200248741	GSE248741	Bess	OM	T	Female, WT, young sample	Female, dnd1 mutant, young sample				dnd1	
200248741	GSE248741	Bess	OM	T	Female, WT, old sample	Female, dnd1 mutant, old sample				dnd1	3 variables: male/female; young/old; Mutant/Control.
200202958	GSE202958	Bess	KO	T	mouse tissue, HGG control	mouse tissue, HGG Sox9-LOF				Sox9	
200202958	GSE202958	Bess	OE	T	mouse tissue, HGG control	mouse tissue, HGG Sox9-GOF				Sox9	
200202958	GSE202958	Bess	OE	T	mouse tissue, EPN control	mouse tissue, EPN Sox9-GOF				Sox9	2 genotypes; KO/OE
200029968	GSE29968	Bess	N								
200188903	GSE188903	Bess	KO	T	Mog-TDP43 Control	Mog-TDP43 KO				Mog-TDP43	
200188903	GSE188903	Bess	KO	T	Mobp-TDP43 Control	Mobp-TDP43 KO				Mobp-TDP43	2 genotypes 
200247910	GSE247910	Bess	N								
200115277	GSE115277	Bess	KD	T	shW_H3K9	shSv210_H3K9				shSv210;Su(var)2-10	
200115277	GSE115277	Bess	KD	T	shW_H3K4	shSv210_H3K4				shSv210;Su(var)2-10	
200115277	GSE115277	Bess	KD	T	shW_H3K36	shSv210_H3K36				shSv210;Su(var)2-10	
200115277	GSE115277	Bess	KD	T	shW_HP1	shSv210_HP1				shSv210;Su(var)2-10	
200115277	GSE115277	Bess	KD	T	shW_polII	shSv210_polII				shSv210;Su(var)2-10	
200115277	GSE115277	Bess	KD	T	shW_RNAseq	shSmt3_RNAseq				shSmt3	
200115277	GSE115277	Bess	KD	T	shW_H3K9	shSmt3_H3K9				shSmt3	
200195727	GSE195727	Bess	N								
200246056	GSE246056	Bess	N								
200210567	GSE210567	Bess	OM	T		P				K27M;H3.1K27M;H3K27M	No controls.
200163247	GSE163247	Bess	D	T	SMC 0hr	SMC 24hr				cholesterol	
200163247	GSE163247	Bess	D	T	SMC 0hr	"
SMC 48hr"				cholesterol	
200163247	GSE163247	Bess	D	T	SMC 0hr	SMC 72hr				cholesterol	Results collected at 24, 48, and 72 hrs after cholesterol infusion.
200163247	GSE163247	Bess	D	T	SMC 5hmc 0hr	SMC 5hmc 24hr				cholesterol	
200163247	GSE163247	Bess	D	T	SMC 5hmc 0hr	SMC 5hmc 48hr				cholesterol	Analysis repeated for DNA methylation and DNA hydroxymethylation.
200154677	GSE154677	Bess	N								
200112335	GSE112335	Bess	D	T	R	WT				MN58b	
200116610	GSE116610	Bess	KO	T	hsromega66	WT				Hsp83	
200116610	GSE116610	Bess	OE	T	Hsp90GFP 	WT				Hsp83	
200116610	GSE116610	Bess	OM	T	Hsp90GFPhsromega66	WT				Hsp83	Recombinant genotype of hsromega66 (KO) and Hsp90GFP (OE).
200140955	GSE140955	Bess	D	T	Tris	cGAMP				2’3’-cGAMP;cGAMP	
200140955	GSE140955	Bess	D	T	Tris	cGMP				ci-di-GMP;cyclic-di-GMP;cGMP	
200164557	GSE164557	Bess	D	T	Healthy	Acute				CPP	
200164557	GSE164557	Bess	D	T	Healthy	Chronic				CPP	Treated with CPP for 48 hrs (acute) or 11 days (chronic).
200244152	GSE244152	Bess	D	T	no erythromycin	with erythromycin				erythromycin;EM;Erythromycin	
200241427	GSE241427	Bess	D	T	Kasumi1, DMSO, 6h	Kasumi1, IBRD9, 6h				I-BRD9;BRD9 bromodomain inhibitor	
200241427	GSE241427	Bess	D	T	KG1, DMSO, 6h	KG1, IBRD9, 6				I-BRD9;BRD9 bromodomain inhibitor	
200241427	GSE241427	Bess	D	T	ML1, DMSO, 6h	ML1, IBRD9, 6h				I-BRD9;BRD9 bromodomain inhibitor	
200241427	GSE241427	Bess	D	T	MV411, DMSO, 6h	MV411, IBRD9, 6h				I-BRD9;BRD9 bromodomain inhibitor	
